event_id,event_time,latitude,longitude,depth_km,magnitude,nn_log_eta_b0,parent_id,parent_distance_km,parent_dt_days,parent_lat,parent_lon,parent_depth
15533,2019-10-16 21:00:00,6.81,125.03,3.0,3.3,-8.06906827043838,13041.0,0.0,98.51944444444445,6.81,125.03,3.0
15574,2019-10-16 23:54:00,6.78,124.86,21.0,2.3,-11.243229111412736,15551.0,0.0,0.06597222222222222,6.78,124.86,21.0
15740,2019-10-17 21:23:00,6.86,124.8,20.0,1.5,-9.58829300340767,15474.0,0.0,2.9805555555555556,6.86,124.8,20.0
15810,2019-10-18 18:03:00,6.83,124.87,22.0,2.1,-10.178377204261393,15761.0,0.0,0.7659722222222223,6.83,124.87,22.0
15942,2019-10-20 18:52:00,11.25,124.63,7.0,2.3,-7.827519669434689,11060.0,0.0,171.81875,11.25,124.63,7.0
16321,2019-10-29 10:22:00,6.83,125.03,5.0,4.9,-8.015575102733429,13004.0,0.0,111.43333333333334,6.83,125.03,5.0
16333,2019-10-29 11:10:00,6.86,125.06,7.0,2.2,-9.145588270328298,15987.0,0.0,8.260416666666666,6.86,125.06,7.0
16400,2019-10-29 16:36:00,6.77,124.77,34.0,2.0,-8.014329198900578,12988.0,0.0,111.75347222222223,6.77,124.77,34.0
16402,2019-10-29 16:38:00,6.78,124.99,3.0,3.5,-8.95497988584075,15535.0,0.0,12.811805555555555,6.78,124.99,3.0
16428,2019-10-29 19:01:00,6.76,124.98,9.0,2.6,-8.014855771995018,13031.0,0.0,111.61805555555556,6.76,124.98,9.0
16493,2019-10-30 02:15:00,6.83,124.93,24.0,3.0,-9.13691293603363,16013.0,0.0,8.427083333333334,6.83,124.93,24.0
16554,2019-10-30 13:21:00,6.76,124.79,33.0,1.7,-8.931230018487787,15584.0,0.0,13.531944444444445,6.76,124.79,33.0
16555,2019-10-30 14:01:00,6.86,124.96,20.0,3.2,-9.039166276527393,15901.0,0.0,10.554166666666667,6.86,124.96,20.0
16563,2019-10-30 14:44:00,6.75,124.99,24.0,2.3,-10.5497798739865,16522.0,0.0,0.32569444444444445,6.75,124.99,24.0
16586,2019-10-30 18:11:00,6.8,125.0,11.0,3.5,-8.98871919558685,15828.0,0.0,11.854166666666666,6.8,125.0,11.0
16600,2019-10-30 20:09:00,6.9,124.86,18.0,2.5,-11.513382540603647,16594.0,0.0,0.035416666666666666,6.9,124.86,18.0
16614,2019-10-30 22:10:00,6.71,124.69,49.0,2.6,-9.99564343497572,16419.0,0.0,1.1666666666666667,6.71,124.69,49.0
16685,2019-10-31 09:25:00,6.89,125.06,28.0,2.3,-8.990529342808944,15874.0,0.0,11.80486111111111,6.89,125.06,28.0
16711,2019-10-31 10:53:00,6.81,124.97,23.0,2.3,-8.950436917127227,15799.0,0.0,12.946527777777778,6.81,124.97,23.0
16721,2019-10-31 11:34:00,6.69,124.79,24.0,1.9,-8.913242793296778,15667.0,0.0,14.104166666666666,6.69,124.79,24.0
16804,2019-10-31 18:32:00,6.72,124.86,29.0,2.6,-9.01286087142589,15931.0,0.0,11.213194444444444,6.72,124.86,29.0
16876,2019-11-01 00:17:00,6.97,124.98,18.0,2.4,-10.062590224606335,16634.0,0.0,1.0,6.97,124.98,18.0
16930,2019-11-01 07:07:00,6.79,124.92,27.0,2.0,-8.880766478785239,15609.0,0.0,15.199305555555556,6.79,124.92,27.0
16939,2019-11-01 08:05:00,6.74,124.8,30.0,1.9,-9.854156333414855,16580.0,0.0,1.6159722222222221,6.74,124.8,30.0
17022,2019-11-01 21:20:00,6.79,125.04,7.0,2.5,-9.605739381900225,16481.0,0.0,2.8631944444444444,6.79,125.04,7.0
17045,2019-11-02 01:31:00,6.79,124.96,23.0,2.7,-10.394230196532591,16979.0,0.0,0.46597222222222223,6.79,124.96,23.0
17066,2019-11-02 03:53:00,6.79,124.95,20.0,2.7,-9.567161529313772,16482.0,0.0,3.129166666666667,6.79,124.95,20.0
17083,2019-11-02 06:05:00,6.79,124.93,23.0,3.1,-9.16488678726983,16167.0,0.0,7.901388888888889,6.79,124.93,23.0
17101,2019-11-02 08:38:00,6.86,124.76,32.0,2.0,-9.731134808400133,16666.0,0.0,2.145138888888889,6.86,124.76,32.0
17146,2019-11-02 19:35:00,6.78,124.84,26.0,2.5,-9.820414727309638,16894.0,0.0,1.7465277777777777,6.78,124.84,26.0
17171,2019-11-02 23:55:00,6.79,125.05,5.0,3.8,-9.469058028657837,16489.0,0.0,3.922222222222222,6.79,125.05,5.0
17237,2019-11-03 15:18:00,6.81,125.1,1.0,3.4,-8.035506893550302,13292.0,0.0,106.43472222222222,6.81,125.1,1.0
17284,2019-11-04 00:20:00,6.81,125.09,1.0,2.8,-7.993994698452395,12984.0,0.0,117.11041666666667,6.81,125.09,1.0
17328,2019-11-04 08:02:00,6.81,124.98,23.0,2.6,-9.314833259156023,16414.0,0.0,5.594444444444444,6.81,124.98,23.0
17389,2019-11-05 05:31:00,6.89,125.06,1.0,2.4,-9.25452937075789,16430.0,0.0,6.427777777777778,6.89,125.06,1.0
17421,2019-11-05 18:46:00,6.75,124.87,26.0,2.2,-9.411460339764242,16933.0,0.0,4.478472222222222,6.75,124.87,26.0
17425,2019-11-05 20:03:00,6.69,125.01,25.0,2.4,-8.86301786970113,15957.0,0.0,15.833333333333334,6.69,125.01,25.0
17431,2019-11-05 20:48:00,6.78,124.96,22.0,2.7,-8.67538584362757,15419.0,0.0,24.389583333333334,6.78,124.96,22.0
17496,2019-11-06 16:11:00,6.82,125.01,11.0,2.3,-8.958335535163009,16149.0,0.0,12.713194444444444,6.82,125.01,11.0
17502,2019-11-06 18:54:00,6.94,125.05,25.0,1.8,-9.323105785122012,16931.0,0.0,5.488888888888889,6.94,125.05,25.0
17503,2019-11-06 19:36:00,5.25,126.3,31.0,2.4,-7.352588103447382,3442.0,0.0,512.8638888888889,5.25,126.3,31.0
17539,2019-11-07 04:30:00,6.78,124.96,22.0,2.2,-9.941742204100189,17431.0,0.0,1.3208333333333333,6.78,124.96,22.0
17555,2019-11-07 06:11:00,6.9,124.86,18.0,2.2,-9.192300143068465,16600.0,0.0,7.418055555555555,6.9,124.86,18.0
17582,2019-11-07 15:13:00,6.78,124.97,30.0,3.2,-9.281433464082966,16976.0,0.0,6.041666666666667,6.78,124.97,30.0
17652,2019-11-08 10:11:00,6.86,125.07,3.0,3.0,-9.125051437475706,16588.0,0.0,8.660416666666666,6.86,125.07,3.0
17764,2019-11-10 02:18:00,6.72,125.08,8.0,2.3,-8.78343997143678,16040.0,0.0,19.01736111111111,6.72,125.08,8.0
17813,2019-11-10 19:09:00,6.8,124.96,20.0,3.1,-8.970264413055864,16319.0,0.0,12.36875,6.8,124.96,20.0
17871,2019-11-11 21:06:00,6.78,124.97,20.0,2.5,-8.726186087567957,15985.0,0.0,21.697222222222223,6.78,124.97,20.0
17950,2019-11-13 15:03:00,6.86,124.9,16.0,2.3,-9.437692483828634,17723.0,0.0,4.215972222222222,6.86,124.9,16.0
17970,2019-11-14 04:28:00,6.9,125.05,1.0,2.8,-8.904123025207276,16591.0,0.0,14.403472222222222,6.9,125.05,1.0
18014,2019-11-15 05:54:00,6.81,124.89,33.0,1.4,-8.934002500914035,17009.0,0.0,13.445833333333333,6.81,124.89,33.0
18161,2019-11-18 22:07:00,7.63,124.89,1.0,1.9,-9.79541849620332,18084.0,0.0,1.85,7.63,124.89,1.0
18218,2019-11-19 14:09:00,7.09,125.37,1.0,3.3,-8.809484535243666,16990.0,0.0,17.910416666666666,7.09,125.37,1.0
18230,2019-11-19 21:17:00,7.67,124.77,1.0,1.7,-8.111438289488792,13992.0,0.0,89.36180555555555,7.67,124.77,1.0
18290,2019-11-21 03:14:00,11.26,124.58,7.0,3.5,-7.470059567029073,5976.0,0.0,391.31875,11.26,124.58,7.0
18300,2019-11-21 08:41:00,6.87,125.07,9.0,2.2,-8.705423267326722,16374.0,0.0,22.759722222222223,6.87,125.07,9.0
18313,2019-11-21 21:38:00,11.31,124.58,1.0,3.0,-7.5604145051973175,7486.0,0.0,317.81597222222223,11.31,124.58,1.0
18349,2019-11-22 10:11:00,6.78,124.97,24.0,2.4,-8.762556629275332,17115.0,0.0,19.954166666666666,6.78,124.97,24.0
